start_ts,end_ts,duration,program
1380964756,1380971890,7134,Google Chrome
1380980665,1380980915,250,Google Chrome
1380983946,1380984524,578,Google Chrome
1380987437,1380996986,9549,Google Chrome
1381000747,1381005029,4282,Google Chrome
1381008136,1381008625,489,Google Chrome
1381011269,1381011611,342,Google Chrome
1381014299,1381014787,488,Google Chrome
1381048318,1381050277,1959,Google Chrome
1381054713,1381055415,702,Google Chrome
1381058870,1381067671,8801,Google Chrome
1381068796,1381071741,2945,Google Chrome
1381073310,1381075111,1801,Google Chrome
1381077623,1381077879,256,Google Chrome
1381083186,1381091776,8590,Google Chrome
1381094610,1381095346,736,Google Chrome
1381126117,1381127523,1406,Google Chrome
1381160817,1381161579,762,Google Chrome
1381167737,1381176343,8606,Google Chrome
1381177492,1381177557,65,Google Chrome
1381183021,1381183578,557,Google Chrome
1381215408,1381215871,463,Google Chrome
1381216911,1381217044,133,Google Chrome
1381218084,1381218764,680,Google Chrome
1381222620,1381226016,3396,Google Chrome
1381250605,1381251450,845,Google Chrome
1381252851,1381257675,4824,Google Chrome
1381259814,1381263389,3575,Google Chrome
1381265211,1381267028,1817,Google Chrome
1381270164,1381270607,443,Google Chrome
1381298926,1381299166,240,Google Chrome
1381300282,1381301124,842,Google Chrome
1381302620,1381302871,251,Google Chrome
1381315980,1381319027,3047,Google Chrome
1381321560,1381327440,5880,Google Chrome
1381328775,1381334460,5685,Google Chrome
1381335780,1381340806,5026,Google Chrome
1381347377,1381349460,2083,Google Chrome
1381353410,1381354360,950,Google Chrome
1381385338,1381385444,106,Google Chrome
1381388652,1381389034,382,Google Chrome
1381391462,1381392020,558,Google Chrome
1381393846,1381394791,945,Google Chrome
1381419165,1381420048,883,Google Chrome
1381422562,1381423001,439,Google Chrome
1381424677,1381427476,2799,Google Chrome
1381431685,1381437089,5404,Google Chrome
1381441985,1381442144,159,Google Chrome
1381474198,1381474373,175,Google Chrome
1381480080,1381483008,2928,Google Chrome
1381484605,1381485842,1237,Google Chrome
1381499941,1381501140,1199,Google Chrome
1381502267,1381503660,1393,Google Chrome
1381505670,1381509288,3618,Google Chrome
1381511940,1381518582,6642,Google Chrome
1381522399,1381522546,147,Google Chrome
1381524000,1381524211,211,Google Chrome
1381525526,1381528380,2854,Google Chrome
1381531680,1381531771,91,Google Chrome
1381565517,1381566450,933,Google Chrome
1381569969,1381570174,205,Google Chrome
1381573704,1381574792,1088,Google Chrome
1381576500,1381577475,975,Google Chrome
1381578931,1381580257,1326,Google Chrome
1381581597,1381585359,3762,Google Chrome
1381607243,1381608840,1597,Google Chrome
1381610998,1381611451,453,Google Chrome
1381612939,1381613491,552,Google Chrome
1381616648,1381616980,332,Google Chrome
1381618584,1381619686,1102,Google Chrome
1381654969,1381656331,1362,Google Chrome
1381664304,1381666261,1957,Google Chrome
1381670895,1381676640,5745,Google Chrome
1381682861,1381692916,10055,Google Chrome
1381695808,1381695840,32,Google Chrome
1381699552,1381700040,488,Google Chrome
1381701216,1381701420,204,Google Chrome
1381731398,1381731431,33,Google Chrome
1381734600,1381734615,15,Google Chrome
1381752448,1381754086,1638,Google Chrome
1381758120,1381758376,256,Google Chrome
1381765241,1381777111,11870,Google Chrome
1381779166,1381782000,2834,Google Chrome
1381784010,1381784056,46,Google Chrome
1381787951,1381788420,469,Google Chrome
1381817675,1381817791,116,Google Chrome
1381838400,1381840306,1906,Google Chrome
1381843860,1381844355,495,Google Chrome
1381855694,1381857676,1982,Google Chrome
1381864473,1381867891,3418,Google Chrome
1381870710,1381870786,76,Google Chrome
