x,y
1050,122
1067,146
1092,164
1114,175
1137,185
1148,188
1156,190
1159,192
1156,194
1128,194
1094,192
1069,178
1060,169
1050,152
1050,133
1064,118
1090,106
1108,103
1128,103
1140,106
1148,119
1148,135
1147,148
1134,163
1118,170
1098,170
1082,160
1071,139
1070,114
1080,93
1105,80
1135,78
1171,88
1185,111
1198,150
1200,176
1200,197
1194,213
1184,217
1171,215
1159,206
1150,198
1143,191
1139,185
1139,181
1141,178
1143,177
1145,176
1147,175
1147,175
1146,175
1141,173
1131,170
1117,169
1092,169
1088,169
1077,169
1067,177
1067,191
1081,205
1106,221
1139,231
1172,235
1199,235
1214,230
1232,209
1238,153
1213,77
1190,51
1153,20
1124,10
1100,10
1080,23
1071,35
1063,51
1061,67
1061,86
1072,104
1090,123
1111,133
1132,141
1145,146
1156,150
1162,154
1166,168
1167,188
1165,211
1155,233
1145,242
1122,252
1092,253
1070,237
1055,220
1040,194
1035,165
1035,142
1040,123
1048,110
1057,97
1064,87
1068,82
1070,79
1069,77
1065,77
1062,77
1059,77
1057,77
1055,83
1055,98
1065,127
1078,149
1089,167
1102,183
1109,188
1116,190
1118,190
1121,168
1117,127
1101,92
1091,72
1084,62
1077,56
1074,56
1073,62
1073,102
1077,137
1091,185
1096,197
1102,212
1105,216
1106,216
1107,205
1108,166
1106,113
1086,59
1072,39
1056,25
1044,22
1038,22
1030,28
1027,43
1027,79
1039,107
1065,139
1093,157
1116,159
1141,147
1150,120
1152,85
1152,67
1141,47
1119,32
1100,31
1084,34
1076,44
1068,60
1064,86
1064,106
1069,121
1080,131
1085,133
1100,133
1113,121
1120,109
1124,96
1125,80
1119,69
1101,61
1078,59
1064,59
1055,60
1046,68
1045,82
1049,99
1068,113
1095,124
1126,125
1154,125
1169,117
1181,106
1185,91
1179,75
1153,56
1126,45
1109,43
1091,42
1083,45
1081,59
1083,87
1104,115
1138,139
1169,148
1225,152
1254,152
1279,139
1279,121
1279,99
1272,94
1243,83
1204,82
1170,85
1142,102
1129,120
1118,138
1115,156
1115,168
1129,178
1151,186
1183,189
1221,189
1248,175
1264,156
1268,135
1261,109
1240,96
1203,84
1159,82
1121,82
1101,86
1083,96
1079,102
1076,114
1080,122
1099,131
1124,138
1150,138
1160,136
1168,129
1173,119
1172,106
1158,100
1141,94
1126,94
1116,95
1114,99
1113,114
1115,127
1123,137
1137,146
1148,151
1159,151
1168,151
1174,136
1176,107
1161,81
1143,67
1124,58
1101,56
1084,61
1073,73
1067,92
1067,115
1075,131
1085,141
1102,151
1117,154
1141,155
1152,153
1164,134
1165,99
1154,70
1134,55
1106,43
1079,42
1063,42
1042,60
1036,72
1033,96
1033,113
1043,127
1056,134
1076,140
1102,142
1123,137
1141,124
1154,105
1158,82
1158,60
1143,42
1118,33
1088,32
1060,40
1048,54
1038,71
1036,88
1041,103
1059,115
1083,121
1116,122
1146,122
1171,113
1191,96
1202,73
1204,49
1201,26
1181,11
1154,9
1123,11
1098,29
1080,59
1074,82
1069,115
1075,136
1089,154
1108,166
1130,172
1153,174
1172,167
1181,155
1189,131
1189,114
1185,106
1164,96
1141,98
1117,119
1101,144
1090,173
1083,205
1081,233
1096,247
1121,254
1151,255
1181,253
1201,243
1217,230
1227,209
1227,184
1211,161
1197,153
1178,145
1171,144
1157,145
1153,151
1148,177
1148,224
1156,266
1163,279
1176,296
1194,306
1209,306
1228,291
1242,265
1251,214
1250,169
1233,142
1216,128
1190,119
1169,119
1158,120
1142,131
1135,149
1132,175
1132,201
1136,215
1145,227
1155,233
1163,234
1172,234
